Discipline,Sorcery Path,Level,Power Name,Description,System,Source book,Page
Thaumaturgy,----- Thaumaturgy -----,,,,,,
Thaumaturgy,The Path of Blood,1,A Taste for Blood,"This power was developed as a means of testing a foe’s might — an extremely important ability in the tumultuous early nights of Clan Tremere. By merely touching the blood of his subject, the caster may de-termine how much vitae remains in the subject and, if the subject is a vampire, how recently he has fed, his approximate Generation and, with three or more suc-cesses, whether he has ever committed diablerie.", The number of successes achieved on the roll determines how much information the thauma-turge gleans and how accurate it is.,V20 Corebook,212
Thaumaturgy,The Path of Blood,2,Blood Rage,"This power allows a vampire to force another Kin-dred to expend blood against his will. The caster must touch her subject for this power to work, though only the lightest contact is necessary. A vampire affected by this power might feel a physical rush as the thau-maturge heightens his Physical Attributes, might find himself suddenly looking more human, or may even find himself on the brink of frenzy as his stores of vitae are mystically depleted."," Each success forces the subject to spend one blood point immediately in the way the caster desires (which must go towards some logical expenditure the target vampire could make, such as increasing Physical Attributes or powering Disciplines). Note that blood points forcibly spent in this manner may exceed the normal “per turn” maximum indicated by the victim’s Generation. Each success gained also increases the subject’s difficulty to resist frenzy by one. The thauma-turge may not use Blood Rage on herself to circumvent generational limits.",V20 Corebook,212
Thaumaturgy,The Path of Blood,3,Blood of Potency,"The thaumaturge gains such control over his own blood that he may effectively “concentrate” it, mak-ing it more powerful for a short time. In effect, he may temporarily lower his own Generation with this power. This power may be used only once per night."," One success on the Willpower roll allows the character to lower his Generation by one step for one hour. Each additional success grants the Kindred either one step down in Generation or one hour of ef-fect. Successes earned must be spent both to decrease the vampire’s Generation and to maintain the change (this power cannot be activated again until the origi-nal application wears off). If the vampire is diablerized while this power is in effect, it wears off immediately and the diablerist gains power appropriate to the cast-er’s actual Generation. Furthermore, any mortals Em-braced by the thaumaturge are born to the Generation appropriate to their sire’s original Generation (e.g., a Tenth-Generation Tremere who has reduced his ef-fective Generation to Eighth still produces Eleventh-Generation childer).Once the effect wears off, any blood over the char-acter’s blood pool maximum dilutes, leaving the char-acter at his regular blood pool maximum. Thus, if a Twelfth-Generation Tremere (maximum blood pool of 11) decreased his Generation to Ninth (maximum blood pool 14), ingested 14 blood points, and had this much vitae in his system when the power wore off, his blood pool would immediately drop to 11.",V20 Corebook,212
Thaumaturgy,The Path of Blood,4,Theft of Vitae,A thaumaturge using this power siphons vitae from her subject. She need never come in contact with the subject — blood literally streams out in a physical tor-rent from the subject to the Kindred (though it is often mystically absorbed and need not enter through the mouth).," The number of successes determines how many blood points the caster transfers from the sub-ject. The subject must be visible to the thaumaturge and within 50 feet (15 meters). Using this power pre-vents the caster from being blood-bound, but other-wise counts as if the vampire ingested the blood her-self. This power is spectacularly obvious, and Camarilla princes justifiably consider its public use a breach of the Masquerade.",V20 Corebook,213
Thaumaturgy,The Path of Blood,5,Cauldron of Blood,"A thaumaturge using this power boils her subject’s blood in his veins like water on a stove. The Kindred must touch her subject, and it is this contact that sim-mers the subject’s blood. This power is always fatal to mortals, and causes great damage to even the mightiest vampires."," The number of successes gained determines how many blood points are brought to boil. The sub-ject suffers one health level of aggravated damage for each point boiled (individuals with Fortitude may soak this damage using only their Fortitude dice). A single success kills any mortal, though some ghouls with ac-cess to Fortitude are said to have survived after soaking all of the aggravated damage.",V20 Corebook,213
Thaumaturgy,Elemental Mastery,1,Elemental Strength,"The vampire can draw upon the strength and resilience
of the earth, or of the objects around him, to increase
his physical prowess without the need for large
amounts of blood."," The player allocates a total of three temporary
bonus dots between the character’s Strength
and Stamina. The number of successes on the roll to
activate the power is the number of turns these dots
remain. The player may spend a Willpower point to
increase this duration by one turn. This power cannot
be “stacked” — one application must expire before the
next can be made.",V20 Corebook,214
Thaumaturgy,Elemental Mastery,2,Wooden Tongues,"A vampire may speak, albeit in limited fashion, with
the spirit of any inanimate object. The conversation
may not be incredibly interesting, as most rocks and
chairs have limited concern for what occurs around
them, but the vampire can get at least a general impression
of what the subject has “experienced.” Note
that events which are significant to a vampire may not
be the same events that interest a lawn gnome."," The number of successes dictates the amount
and relevance of the information that the character receives.
One success may yield a boulder’s memory of a
forest fire, while three may indicate that it remembers
a shadowy figure running past, and five will cause the
rock to relate a precise description of a local Gangrel.",V20 Corebook,214
Thaumaturgy,Elemental Mastery,3,Animate the Unmoving,"Objects affected by this power move as the vampire
using it dictates. An object cannot take an action that
would be completely inconceivable for something with
its form — for instance, a door could not leap from
its hinges and carry someone across a street. However,
seemingly solid objects can become flexible within reason:
Barstools can run with their legs, guns can twist
out of their owners’ hands or fire while holstered, and
humanoid statues can move like normal humans.","This power requires the expenditure of a
Willpower point with less than four successes on the
roll. Each use of this power animates one object no
larger than human-sized; the caster may simultaneously
control a number of animate objects equal to his Intelligence
rating. Objects animated by this power stay
animated as long as they are within the caster’s line of
sight or up to an hour, although the thaumaturge can
take other actions during that time.",V20 Corebook,214
Thaumaturgy,Elemental Mastery,4,Elemental Form,"The vampire can take the shape of any inanimate
object of a mass roughly equal to her own. A desk, a
statue, or a bicycle would be feasible, but a house or a
pen would be beyond this power’s capacity."," The number of successes determines how
completely the character takes the shape she wishes
to counterfeit. At least three successes are required for the character to use her senses or Disciplines while in
her altered form. This power lasts for the remainder of
the night, although the character may return to her
normal form at will.",V20 Corebook,214
